,Date,Humidity,Lat,Lon,Max Temp,clouds,name,wind_speed
0,1547146800,93,-28.95,153.24,66.2,32,Codrington,4.7
1,1547148900,37,33.19,-82.53,53.06,1,Avera,5.82
2,1547146800,54,-54.81,-68.31,60.8,75,Ushuaia,8.05
3,1547149433,50,10.49,-68.2,81.24,0,Moron,3.8
4,1547149433,98,-23.12,-134.97,80.07,12,Rikitea,13.65
5,1547148900,82,45.36,-73.48,18.14,90,Saint-Philippe,15.21
6,1547146800,36,2.82,-60.67,91.4,75,Boa Vista,16.11
7,1547149434,79,15.34,74.49,57.3,0,Vaini,2.46
8,1547149434,63,59.7,150.17,-22.58,0,Arman,2.57
9,1547149435,79,71.98,102.47,-38.47,0,Khatanga,4.81
10,1547146800,58,-0.74,-90.35,84.2,0,Puerto Ayora,10.29
11,1547149435,99,-9.8,-139.03,81.6,0,Atuona,17.22
12,1547149435,46,68.75,161.3,-7.28,8,Cherskiy,5.59
13,1547149435,100,8.12,122.68,80.38,56,Liloy,23.6
14,1547149436,37,18.62,-100.35,80.65,0,Coahuayana,3.13
15,1547146800,67,-42.78,147.06,60.8,75,New Norfolk,3.36
16,1547146620,48,42.65,-73.75,28.04,40,Albany,26.4
17,1547149437,83,-34.42,19.24,58.29,8,Hermanus,4.25
18,1547149437,100,-33.64,115.35,60.31,0,Busselton,8.61
19,1547149437,92,-8.93,125.41,68.5,8,Airai,1.68
20,1547149437,72,55.74,-97.86,-2.33,56,Thompson,3.69
21,1547148840,39,19.53,-98.88,66.2,5,Chiautla,4.7
22,1547149438,49,69.49,88.39,-30.14,44,Talnakh,3.91
23,1547149286,72,-33.21,138.6,57.16,0,Jamestown,5.59
24,1547146800,88,33.93,134.5,48.2,40,Katsuura,16.11
25,1547149438,67,-46.19,168.86,55.99,92,Mataura,16.67
26,1547149439,64,71.64,128.87,-35.0,48,Tiksi,3.13
27,1547149439,87,60.14,-45.24,31.33,92,Nanortalik,22.48
28,1547146800,100,18.22,42.5,59.0,0,Abha,2.68
29,1547149439,99,-20.95,164.69,77.5,32,Voh,13.65
30,1547149440,91,-33.59,26.89,67.69,68,Port Alfred,10.4
31,1547146380,73,19.71,-155.08,73.94,1,Hilo,5.82
32,1547146800,59,28.66,-17.92,64.4,75,Los Llanos de Aridane,2.24
33,1547149440,52,52.7,115.17,-11.92,8,Verkh-Usugli,0.89
34,1547146800,94,-19.06,-169.92,78.8,92,Alofi,4.7
35,1547149441,69,52.7,55.83,-1.66,68,Yermolayevo,0.78
36,1547149442,100,50.68,156.12,10.27,0,Severo-Kurilsk,2.91
37,1547149442,91,18.56,120.79,78.09,0,Pagudpud,20.8
38,1547149442,90,18.03,73.02,63.42,0,Srivardhan,3.02
39,1547146800,65,-22.97,-42.02,86.0,0,Arraial do Cabo,23.04
